EVALUATION METRICS (Object Detection)
mAP50-95: 0.4804
mAP50: 0.5509
Mean Precision: 0.5880
Mean Recall: 0.4860

Class                precision    recall  f1-score
A10                       0.63      0.50      0.56
A400M                     0.66      0.67      0.66
AG600                     0.73      0.82      0.77
AH64                      0.58      0.65      0.61
AKINCI                    0.71      0.27      0.39
AV8B                      0.73      0.64      0.68
AirbusA320                0.63      0.42      0.50
AirbusA330                0.50      0.36      0.42
AirbusA340                0.16      0.04      0.06
AirbusA350                1.00      0.00      0.00
AirbusA380                0.00      0.00      0.00
An124                     0.47      0.62      0.53
An22                      0.52      0.75      0.61
An225                     0.85      0.50      0.63
An72                      0.63      0.43      0.51
B1                        0.73      0.73      0.73
B2                        0.67      0.75      0.71
B21                       0.65      0.62      0.64
B52                       0.73      0.61      0.67
Be200                     0.71      0.69      0.70
Boeing737                 0.40      0.39      0.40
Boeing747                 0.27      0.09      0.13
Boeing757                 0.00      0.00      0.00
Boeing767                 0.60      0.20      0.30
Boeing777                 0.17      0.12      0.14
Boeing787                 0.00      0.00      0.00
C1                        0.51      0.66      0.57
C130                      0.63      0.62      0.63
C17                       0.52      0.49      0.50
C2                        0.81      0.83      0.82
C390                      0.50      0.48      0.49
C5                        0.53      0.66      0.59
CH47                      0.79      0.76      0.78
CH53                      0.17      0.11      0.13
CL415                     0.82      0.66      0.73
E2                        0.79      0.70      0.74
E7                        0.83      0.80      0.81
EF2000                    0.54      0.47      0.50
EMB314                    0.69      0.53      0.60
F117                      0.50      0.52      0.51
F14                       0.51      0.41      0.45
F15                       0.59      0.61      0.60
F16                       0.54      0.51      0.52
F18                       0.63      0.63      0.63
F2                        0.43      0.12      0.19
F22                       0.48      0.47      0.47
F35                       0.55      0.56      0.55
F4                        0.68      0.54      0.60
FCK1                      0.56      0.27      0.36
H6                        0.72      0.57      0.63
Il76                      0.43      0.33      0.37
J10                       0.67      0.41      0.51
J20                       0.63      0.60      0.61
J35                       0.77      0.52      0.62
J36                       0.71      0.38      0.49
J50                       0.22      0.25      0.23
JAS39                     0.50      0.47      0.48
JF17                      0.45      0.45      0.45
JH7                       0.53      0.48      0.50
KAAN                      0.32      0.32      0.32
KC135                     0.56      0.55      0.56
KF21                      0.51      0.42      0.46
KIZILELMA                 0.32      0.25      0.28
KJ600                     0.67      0.52      0.59
Ka27                      0.76      0.43      0.55
Ka52                      0.85      0.61      0.71
MQ20                      1.00      0.00      0.00
MQ25                      0.51      0.67      0.58
MQ28                      0.72      0.70      0.71
MQ35                      0.58      0.55      0.56
MQ9                       0.64      0.62      0.63
Mi24                      0.44      0.64      0.52
Mi26                      0.64      0.48      0.55
Mi28                      0.74      0.65      0.69
Mi8                       0.52      0.38      0.44
Mig29                     0.39      0.27      0.32
Mig31                     0.62      0.51      0.56
Mirage2000                0.46      0.43      0.44
NH90                      0.32      0.27      0.30
P3                        0.64      0.57      0.60
RQ4                       0.72      0.57      0.64
Rafale                    0.55      0.48      0.51
SR71                      0.82      0.65      0.73
Su24                      0.57      0.48      0.52
Su25                      0.62      0.39      0.48
Su34                      0.62      0.50      0.55
Su47                      0.72      0.76      0.74
Su57                      0.73      0.54      0.62
T50                       0.36      0.35      0.36
TB001                     0.71      0.63      0.67
TB2                       0.48      0.15      0.22
Tejas                     0.14      0.04      0.06
Tornado                   0.63      0.53      0.57
Tu160                     0.77      0.71      0.74
Tu22M                     0.64      0.39      0.49
Tu95                      0.79      0.69      0.74
U2                        0.62      0.79      0.69
UH60                      0.50      0.35      0.41
US2                       0.76      0.85      0.80
V22                       0.72      0.67      0.70
V280                      0.92      0.75      0.83
Vulcan                    0.77      0.56      0.65
WZ10                      0.81      0.60      0.69
WZ7                       0.34      0.47      0.39
WZ9                       1.00      0.00      0.00
X29                       0.51      0.65      0.57
X32                       0.78      0.73      0.75
XB70                      0.63      0.75      0.69
XQ58                      0.34      0.27      0.30
Y20                       0.57      0.40      0.47
YF23                      0.55      0.73      0.63
Z10                       0.58      0.73      0.65
Z19                       0.64      0.35      0.45
Z21                       1.00      0.35      0.52

macro avg                 0.59      0.49      0.51
