epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,227.821,1.08651,4.41846,1.26559,0.40234,0.07614,0.02222,0.01668,0.97355,4.08686,1.17638,0.00999121,0.0033304,0.00999121,0.0033304,0.00999121,0.0033304,0.00999121,0.0033304
2,430.034,1.13155,3.77129,1.26336,0.361,0.09351,0.03045,0.02196,1.11818,3.76903,1.24251,0.0197933,0.00659777,0.0197933,0.00659777,0.0197933,0.00659777,0.0197933,0.00659777
3,611.901,1.22062,3.57527,1.3117,0.35039,0.08422,0.02649,0.01757,1.24847,3.65063,1.3445,0.0293974,0.00979913,0.0293974,0.00979913,0.0293974,0.00979913,0.0293974,0.00979913
4,810.221,1.2425,3.42613,1.32745,0.35635,0.08883,0.04282,0.03196,1.12245,3.27076,1.27768,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,990.56,1.16609,3.21605,1.29145,0.33425,0.12555,0.05732,0.04307,1.03737,3.0243,1.21784,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1169.49,1.11426,3.08541,1.25853,0.30254,0.14316,0.08131,0.06214,0.95237,2.80633,1.1541,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1349.69,1.07819,2.97323,1.23481,0.24747,0.16656,0.0862,0.06729,0.91737,2.76442,1.13169,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1529.63,1.04989,2.89593,1.21755,0.30661,0.1674,0.1096,0.08827,0.92246,2.66454,1.12514,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1708.5,1.03118,2.82088,1.2073,0.25041,0.20908,0.12504,0.10083,0.85561,2.57561,1.08842,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1887.02,1.01036,2.76123,1.19353,0.2424,0.21535,0.14509,0.11756,0.84389,2.47956,1.0895,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2061.96,0.99312,2.70267,1.18065,0.33831,0.21736,0.15137,0.12238,0.82693,2.44179,1.0693,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2237.89,0.97643,2.64554,1.1727,0.26731,0.25162,0.17877,0.14714,0.81817,2.349,1.0736,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2414.09,0.97239,2.60599,1.17057,0.33009,0.23185,0.18246,0.15098,0.8004,2.29685,1.05841,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2597.02,0.95618,2.55448,1.16082,0.28956,0.24855,0.20138,0.16422,0.7919,2.24819,1.05511,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2780.73,0.94112,2.51237,1.15421,0.34375,0.25795,0.22132,0.18205,0.7662,2.19958,1.04169,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2962.54,0.93983,2.47154,1.15011,0.32904,0.26611,0.23132,0.19216,0.76031,2.16374,1.0405,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3145.75,0.93004,2.42778,1.14375,0.30167,0.28006,0.24667,0.20527,0.75199,2.11282,1.0325,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3325.36,0.92635,2.40598,1.14467,0.33776,0.29365,0.25951,0.21707,0.74679,2.0743,1.02686,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3499.73,0.91351,2.37297,1.13383,0.3497,0.29349,0.27036,0.22924,0.73499,2.03175,1.02152,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3676.61,0.91032,2.34137,1.13573,0.37875,0.29351,0.28401,0.23848,0.73165,1.98463,1.01795,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3866.32,0.90987,2.30217,1.12971,0.39001,0.3107,0.2958,0.25076,0.7226,1.94729,1.01258,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4044.04,0.89497,2.26788,1.12365,0.42319,0.32664,0.32898,0.27675,0.71225,1.89827,1.01045,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4220.55,0.89228,2.24993,1.11926,0.39771,0.32646,0.32287,0.27386,0.70908,1.86649,1.00483,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,249.174,0.89251,2.26249,1.12003,0.41353,0.3157,0.33477,0.28378,0.70379,1.8392,1.00152,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,495.236,0.88942,2.25131,1.11784,0.42981,0.34722,0.35539,0.30197,0.69625,1.8116,0.99701,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,728.99,0.88644,2.23914,1.11874,0.43394,0.33788,0.35286,0.30055,0.6871,1.79092,0.991,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,963.975,0.87684,2.20526,1.11216,0.44911,0.3466,0.3616,0.3075,0.69046,1.75567,0.99504,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1185.42,0.8773,2.18851,1.11181,0.41765,0.36971,0.37583,0.32023,0.68295,1.73072,0.98888,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
